Watching PID 13704 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.005  ;  233420.00;  231704.00;  213180.00
1.004  ;  233456.00;  231740.00;  212840.00
1.004  ;  233584.00;  231868.00;  213292.00
1.004  ;  233636.00;  231920.00;  213648.00
1.004  ;  233716.00;  232000.00;  213688.00
1.004  ;  233952.00;  232236.00;  214572.00
1.004  ;  234168.00;  232452.00;  214028.00
1.004  ;  234232.00;  232516.00;  213308.00
1.004  ;  234232.00;  232516.00;  214260.00
1.004  ;  234304.00;  232588.00;  213632.00
1.004  ;  234496.00;  232780.00;  213832.00
1.005  ;  234716.00;  233000.00;  215260.00
1.004  ;  234740.00;  233024.00;  214136.00
1.004  ;  234740.00;  233024.00;  213956.00
1.004  ;  234924.00;  233208.00;  214400.00
1.004  ;  234964.00;  233248.00;  213760.00
1.004  ;  235148.00;  233432.00;  214800.00
1.004  ;  235260.00;  233544.00;  214848.00
1.004  ;  235388.00;  233672.00;  215008.00
1.004  ;  235492.00;  233776.00;  214680.00
1.004  ;  235624.00;  233908.00;  214688.00
1.005  ;  235624.00;  233908.00;  213992.00
1.004  ;  235624.00;  233908.00;  214588.00
1.004  ;  235624.00;  233908.00;  213872.00
1.004  ;  235624.00;  233908.00;  214716.00
1.004  ;  235624.00;  233908.00;  214664.00
1.005  ;  235624.00;  233908.00;  214356.00
1.005  ;  235740.00;  234024.00;  214388.00
1.004  ;  235740.00;  234024.00;  213252.00
1.004  ;  235828.00;  234112.00;  213976.00
1.004  ;  235948.00;  234232.00;  214752.00
1.004  ;  235948.00;  234232.00;  213672.00
1.004  ;  236036.00;  234320.00;  214304.00
1.004  ;  236080.00;  234364.00;  213992.00
1.004  ;  236248.00;  234532.00;  215044.00
1.005  ;  236376.00;  234660.00;  214768.00
1.004  ;  236476.00;  234760.00;  214744.00
1.004  ;  236476.00;  234760.00;  214092.00
1.004  ;  236612.00;  234896.00;  214536.00
1.005  ;  236836.00;  235120.00;  215092.00
1.005  ;  236852.00;  235136.00;  214428.00
1.004  ;  236928.00;  235212.00;  214616.00
1.004  ;  237048.00;  235332.00;  214828.00
1.004  ;  237316.00;  235600.00;  215408.00
1.004  ;  237384.00;  235668.00;  214836.00
1.005  ;  237448.00;  235732.00;  214572.00
1.004  ;  237448.00;  235732.00;  214516.00
1.004  ;  237464.00;  235748.00;  215856.00
1.004  ;  237784.00;  236068.00;  215412.00
1.004  ;  237844.00;  236128.00;  214468.00
1.004  ;  237920.00;  236204.00;  215392.00
1.004  ;  238016.00;  236300.00;  214884.00
1.004  ;  238128.00;  236412.00;  214784.00
1.005  ;  238380.00;  236664.00;  215716.00
1.005  ;  238380.00;  236664.00;  214124.00
1.005  ;  238380.00;  236664.00;  214764.00
1.004  ;  238380.00;  236664.00;  215416.00
1.004  ;  238380.00;  236664.00;  212396.00
1.004  ;  238380.00;  236664.00;  215536.00
1.004  ;  238380.00;  236664.00;  215352.00
1.004  ;  238380.00;  236664.00;  215388.00
1.004  ;  238532.00;  236816.00;  216368.00
1.004  ;  238532.00;  236816.00;  214748.00
1.005  ;  238644.00;  236928.00;  215188.00
1.004  ;  238656.00;  236940.00;  215040.00
1.004  ;  238804.00;  237088.00;  215288.00
1.004  ;  238804.00;  237088.00;  214780.00
1.004  ;  238848.00;  237132.00;  215912.00
1.005  ;  238952.00;  237236.00;  214528.00
1.005  ;  238976.00;  237260.00;  214688.00
1.005  ;  239156.00;  237440.00;  215336.00
1.004  ;  239312.00;  237596.00;  214948.00
1.004  ;  239360.00;  237644.00;  214880.00
1.004  ;  239540.00;  237824.00;  215220.00
1.004  ;  239672.00;  237956.00;  214628.00
1.004  ;  239792.00;  238076.00;  215372.00
1.004  ;  239796.00;  238080.00;  214808.00
1.004  ;  239912.00;  238196.00;  216336.00
1.005  ;  239980.00;  238264.00;  216212.00
1.004  ;  240032.00;  238316.00;  215492.00
1.004  ;  240232.00;  238516.00;  215644.00
1.004  ;  240272.00;  238556.00;  215232.00
1.004  ;  240328.00;  238612.00;  216132.00
1.005  ;  240328.00;  238612.00;  216272.00
1.005  ;  240520.00;  238804.00;  215804.00
1.004  ;  240520.00;  238804.00;  215248.00
1.004  ;  240612.00;  238896.00;  215256.00
1.004  ;  240760.00;  239044.00;  215596.00
1.005  ;  240968.00;  239252.00;  215988.00
1.004  ;  241116.00;  239400.00;  215072.00
1.004  ;  241124.00;  239408.00;  214816.00
